dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	173055	id_241043	172867	id_240851
1.0	148331	id_206772	707	id_944
0.905	250221	id_347447	50376	id_71786
1.0	127772	id_178389	127743	id_178359
1.0	216677	id_301319	216654	id_301274
1.0	91022	id_127784	38869	id_55585
0.895	140769	id_196471	70381	id_99386
1.0	221027	id_307118	51115	id_72646
0.88	125957	id_175619	125930	id_175591
1.0	216677	id_301319	216646	id_301265
1.0	186251	id_258830	74595	id_106202
1.0	186560	id_259280	156516	id_218372
1.0	254772	id_353447	116422	id_162539
0.88	125957	id_175619	125918	id_175578
1.0	229887	id_318354	9630	id_14093
1.0	228068	id_315913	102038	id_142636
1.0	98960	id_138325	89543	id_126075
1.0	163100	id_227469	163092	id_227461
0.99	87109	id_123093	43048	id_61483
1.0	23244	id_33297	23203	id_33247
1.0	184700	id_256961	184697	id_256958
1.0	252629	id_350582	77634	id_110229
1.0	210715	id_292607	206400	id_286453
1.0	46864	id_67059	46831	id_67023
1.0	249546	id_346494	249503	id_346441
1.0	118024	id_164649	68980	id_97318
1.0	228068	id_315913	102045	id_142644
1.0	5280	id_7804	5279	id_7803
1.0	5280	id_7804	5276	id_7800
1.0	11106	id_16018	11097	id_16008
1.0	174631	id_243367	94792	id_132468
1.0	249751	id_346830	249683	id_346757
1.0	84114	id_119009	84004	id_118894
0.93	56789	id_81009	56719	id_80939
1.0	14972	id_21618	9947	id_14477
1.0	233626	id_323774	104665	id_146361
1.0	245996	id_341625	245993	id_341622
1.0	229351	id_317572	125801	id_175454
1.0	112653	id_157142	65100	id_92281
1.0	67870	id_95913	67669	id_95709
1.0	5280	id_7804	5267	id_7791
1.0	5280	id_7804	5265	id_7789
1.0	249751	id_346830	249678	id_346752
1.0	84114	id_119009	84002	id_118892
1.0	249495	id_346433	249447	id_346385
1.0	213040	id_296088	212971	id_296007
1.0	102038	id_142636	86272	id_121810
1.0	84114	id_119009	84036	id_118926
1.0	119476	id_166649	50486	id_71897
1.0	201032	id_279389	25460	id_36328
1.0	155101	id_216166	24501	id_34916
1.0	253555	id_351794	188076	id_261242
1.0	243892	id_338611	211225	id_293418
1.0	193804	id_269422	172245	id_239976
1.0	84114	id_119009	84034	id_118924
1.0	252131	id_349902	252128	id_349899
1.0	84114	id_119009	84026	id_118916
1.0	90554	id_127222	90497	id_127165
1.0	118633	id_165636	100706	id_140796
1.0	113372	id_158274	113343	id_158237
1.0	244132	id_338894	226631	id_314137
1.0	156761	id_218775	130641	id_182355
1.0	219913	id_305705	219867	id_305655
1.0	172579	id_240477	17276	id_24980
1.0	29030	id_41185	10913	id_15805
1.0	219594	id_305226	140839	id_196545
1.0	257674	id_357557	247687	id_343795
1.0	171896	id_239560	92270	id_129417
1.0	76485	id_108607	45589	id_65073
1.0	46448	id_66582	4823	id_7239
1.0	74909	id_106622	62116	id_88345
1.0	84114	id_119009	84053	id_118943
1.0	66047	id_93466	66007	id_93418
1.0	84114	id_119009	84051	id_118941
1.0	84114	id_119009	84057	id_118947
1.0	65273	id_92481	65210	id_92412
0.91	222743	id_309243	202029	id_280648
0.99	112646	id_157126	86518	id_122112
0.995	82355	id_116877	33588	id_47677
1.0	227311	id_314974	227120	id_314759
1.0	45251	id_64562	45219	id_64530
1.0	243892	id_338611	211258	id_293456
1.0	139259	id_194070	105768	id_147833
0.99	56789	id_81009	56750	id_80970
1.0	86272	id_121810	58432	id_83168
1.0	84114	id_119009	84043	id_118933
1.0	90745	id_127436	90733	id_127424
0.9	222743	id_309243	202019	id_280638
1.0	90745	id_127436	90737	id_127428
1.0	125274	id_174795	12782	id_18461
1.0	200518	id_278789	200511	id_278782
1.0	229740	id_318064	217989	id_303105
